id_client,date_cmd,adr_livraison,payee,etat
40,23-03-22,Ap #947-3619 Et Avenue,TRUE,preparation
13,23-04-21,Ap #865-8664 Tempus Rd.,TRUE,preparation
17,28-10-21,"P.O. Box 692, 5650 Ante Street",TRUE,preparation
40,11-10-21,966-4427 Congue St.,TRUE,preparation
48,03-09-21,Ap #580-2473 Mi Street,TRUE,valide
34,30-01-22,4212 Donec Street,FALSE,valide
24,14-09-20,Ap #452-9099 Augue Ave,TRUE,preparation
63,06-08-20,Ap #982-3592 Ante Av.,TRUE,valide
72,30-10-20,2317 Odio. Road,FALSE,preparation
74,17-09-20,"P.O. Box 810, 2137 Porttitor St.",FALSE,valide
24,13-03-22,"149-3724 Mauris, Rd.",TRUE,valide
53,20-12-21,104-4370 Mollis Ave,TRUE,valide
38,30-01-21,116-3666 Erat Rd.,FALSE,valide
68,16-06-20,1926 Ut Ave,TRUE,preparation
7,15-04-21,9312 Felis Street,FALSE,preparation
31,27-10-20,3568 At St.,TRUE,valide
94,25-09-20,5020 Eleifend. Rd.,FALSE,valide
56,04-09-21,Ap #325-1788 Phasellus Av.,FALSE,preparation
93,19-05-20,"P.O. Box 761, 1912 Vel Avenue",FALSE,valide
11,13-10-20,"P.O. Box 470, 6879 Varius Avenue",FALSE,valide
14,18-01-22,623-2338 Malesuada St.,FALSE,preparation
88,17-03-21,Ap #978-3329 Natoque Av.,TRUE,preparation
2,01-04-21,442-9654 Mollis Road,TRUE,preparation
29,03-06-20,"P.O. Box 557, 5174 Ut Avenue",FALSE,preparation
9,08-03-22,186 Malesuada Street,FALSE,valide
12,18-04-22,966-5968 Libero St.,TRUE,valide
93,18-08-21,179-4116 Lobortis Road,FALSE,preparation
33,29-05-20,9999 Volutpat. Rd.,TRUE,valide
18,23-11-21,Ap #136-5576 In Rd.,TRUE,valide
